Date,Close/Last,Volume,Open,High,Low,Daily Returns,Weekly Rolling Std
2024-04-08,169.58,37425510,169.03,169.2,168.24,0.0,0.896445361268986
2024-04-09,169.67,42451210,168.7,170.08,168.35,0.08999999999997499,0.45231678745859094
2024-04-10,167.78,49709340,168.8,169.09,167.11,-1.8899999999999864,0.703525137485488
2024-04-11,175.04,91070280,168.34,175.46,168.16,7.259999999999991,2.3203642981689145
2024-04-12,176.55,101670900,174.26,178.36,174.21,1.5100000000000193,3.3676535564420917
2024-04-15,172.69,73531770,175.36,176.63,172.5,-3.8600000000000136,3.26569470477394
2024-04-16,169.38,73711240,171.75,173.76,168.27,-3.3100000000000023,3.286668598477359
2024-04-17,168.0,50901210,169.61,170.65,168.0,-1.3799999999999955,3.490603713649101
2024-04-18,167.04,43122900,168.03,168.64,166.55,-0.960000000000008,3.821342945194588
2024-04-19,165.0,68149380,166.21,166.4,164.08,-2.039999999999992,4.31529229821968
2024-04-22,165.84,48116440,165.52,167.26,164.77,0.8400000000000034,4.108299961231511
2024-04-23,166.9,49537760,165.35,167.05,164.92,1.0600000000000023,2.566085586671106
2024-04-24,169.02,48251840,166.54,169.3,166.21,2.1200000000000045,1.6032823474797426
2024-04-25,169.89,50558330,169.53,170.61,168.15,0.8699999999999761,1.7202699123842287
2024-04-26,169.3,44838350,169.88,171.34,169.18,-0.589999999999975,1.8621403455949754
2024-04-29,173.5,68169420,173.37,176.03,173.1,4.199999999999989,2.8788812311179495
2024-04-30,170.33,65934780,173.33,174.99,170.0,-3.1699999999999875,2.478049348066891
2024-05-01,169.3,50383150,169.58,172.71,169.11,-1.0300000000000011,1.9781677429060103
2024-05-02,173.03,94214920,172.51,173.42,170.89,3.7299999999999898,1.860294395551841
2024-05-03,183.38,163224100,186.65,187.0,182.66,10.349999999999994,5.023945518360563
